feature,mean_abs_shap,mean_abs_shap_High,mean_abs_shap_Low,mean_abs_shap_Medium
eq_count_3yr,0.06839982564174787,0.06180009483020875,0.08984070345800203,0.053558678637032946
seismic_energy_3yr,0.05180685018933878,0.0381321878776699,0.0752167483908201,0.04207161429952638
mean_depth_3yr,0.033943970126195724,0.027383243409778643,0.04489806690409873,0.02955060006470975
eq_count_1yr,0.030335319716903224,0.03453988238608959,0.03660126089872105,0.019864815865899013
seismic_energy_1yr,0.028466475195135687,0.027150893531738045,0.03948356012900358,0.01876497192466545
grid_lon,0.02426963416098719,0.01999923224873065,0.0329769199279986,0.01983275030623236
grid_lat,0.018133521492177267,0.014814528587973849,0.02220645142221965,0.017379584466338315
year,0.014767692736259578,0.013251264439211458,0.01362959411664962,0.01742221965291764
max_mag_3yr,0.01348983857992605,0.013059947507530251,0.01771392971251414,0.009695638519733785
freq_trend,0.013128313616570844,0.013598667924746429,0.0182077563527635,0.007578516572202631
mean_mag_3yr,0.01095008841316506,0.00955698193706595,0.013717515136321868,0.009575768166107364
mag_trend,0.005874767184850329,0.005310304339900637,0.005985521265470495,0.006328475949179849
