feature,rf_gini_importance,mean_abs_shap,rf_rank,shap_rank
eq_count_3yr,0.15319578225071484,0.06839982564174787,1,1
seismic_energy_3yr,0.134531940453552,0.05180685018933878,2,2
mean_depth_3yr,0.1094571558887158,0.033943970126195724,3,3
eq_count_1yr,0.0749940612930616,0.030335319716903224,6,4
seismic_energy_1yr,0.09570642323727403,0.028466475195135687,4,5
grid_lon,0.07093047635621985,0.02426963416098719,7,6
grid_lat,0.07572490452806792,0.018133521492177267,5,7
year,0.06638854767154298,0.014767692736259578,8,8
max_mag_3yr,0.05295234010983854,0.01348983857992605,11,9
freq_trend,0.05358799704618737,0.013128313616570844,10,10
mean_mag_3yr,0.0613833168978192,0.01095008841316506,9,11
mag_trend,0.051147054267005866,0.005874767184850329,12,12
